,category,rating,thumbUrl,name,price_rating,url,fav_comment_user_face,fav_comment_content,phone,fav_comment_user,address_l1,address_l2
0,['Barbeque'],3.5,http://s3-media4.ak.yelpcdn.com/bphoto/3jBnsR8Dg8AbIhaE_sFIjA/90s.jpg,Li'l Porgy's Bar-B-Que,1,http://www.yelp.com/biz/lil-porgys-bar-b-que-champaign,http://s3-media2.ak.yelpcdn.com/photo/pJzB7YFHQtAdnAXgirk-Yw/30s.jpg,"...meals each from it - between the chicken, lemon shake-up, and fries.",(217) 398-6811,Ken R.,1917 W Springfield Ave,"Champaign, IL 61821"
1,"['Spanish', 'Breakfast & Brunch', 'Cajun/Creole']",3.5,http://s3-media4.ak.yelpcdn.com/bphoto/ip5iFEtWl-FXH-mmArsivw/90s.jpg,Radio Maria,2,http://www.yelp.com/biz/radio-maria-champaign,http://s3-media1.ak.yelpcdn.com/photo/SPnkue-zOHcHnw1EB8XLIA/30s.jpg,The menu runs from an inventive tapas list to unique entrees.,(217) 398-7729,Anne S.,119 N Walnut St,"Champaign, IL 61820"
2,['Meat Shops'],5.0,http://s3-media2.ak.yelpcdn.com/bphoto/K5uy1QYoKgx5kI5X8xEIZQ/90s.jpg,Meat Science Laboratory,2,http://www.yelp.com/biz/meat-science-laboratory-urbana,http://s3-media3.ak.yelpcdn.com/photo/VTLrlgVxaENdde5mZX-zbA/30s.jpg,"This is, by far, one of the best kept secrets of Champaign-Urbana.",(217) 333-3404,Annie W.,1503 South Maryland Ave,"Urbana, IL 61801"
3,"['Bakeries', 'Caterers']",3.5,http://s3-media2.ak.yelpcdn.com/bphoto/r0Tq3eWj_1qb6oc2D4MAgw/90s.jpg,Cream & Flutter,2,http://www.yelp.com/biz/cream-and-flutter-champaign,http://s3-media4.ak.yelpcdn.com/photo/I3l23JrhnvZG2fID_3k2Xw/30s.jpg,"Very girly store with cupcakes and cocktails, both done expertly.",(217) 355-5400,Andrea T.,114 N Walnut St,"Champaign, IL 61820"
4,['Mexican'],4.0,http://s3-media2.ak.yelpcdn.com/bphoto/on4VuN8R6tpIrIfG1sOUOw/90s.jpg,El Charro,1,http://www.yelp.com/biz/el-charro-champaign-2,http://s3-media2.ak.yelpcdn.com/photo/By9EWylrx0voBQ6lUz9_lw/30s.jpg,Dollar taco Wednesdays! Awesome tacos.,(217) 337-6647,Josh D.,55 E Green St,"Champaign, IL 61820"
5,"['Japanese', 'Sushi Bars']",4.0,http://s3-media3.ak.yelpcdn.com/bphoto/w47HxzJ4L9uoiuDCm-F_Tw/90s.jpg,Yellowfin,2,http://www.yelp.com/biz/yellowfin-champaign,http://s3-media3.ak.yelpcdn.com/photo/WTVJUFsbsgCm4-m5UFpCOg/30s.jpg,This is gotta be my favorite Japanese joint in Chambana.,(217) 351-7878,Joanna P.,303 Cedar St,"Champaign, IL 61820"
6,['Bakeries'],4.5,http://s3-media1.ak.yelpcdn.com/bphoto/6pAxgftbDHL4V3fLQdE17Q/90s.jpg,The Cake Artist's Studio,2,http://www.yelp.com/biz/the-cake-artists-studio-champaign,http://s3-media3.ak.yelpcdn.com/photo/3ZH_XSFaxahM8Mz3_3uRlA/30s.jpg,I ordered brown sugar oatmeal cake with cream cheese and brown sugar...,(217) 403-0900,Grace C.,1100 W Bloomington Rd,"Champaign, IL 61820"
7,"['Vegetarian', 'Cafes']",4.0,http://s3-media2.ak.yelpcdn.com/bphoto/JnJRe4klxBMpGxEXSlUPkg/90s.jpg,The Red Herring,1,http://www.yelp.com/biz/the-red-herring-urbana,http://s3-media3.ak.yelpcdn.com/photo/bYiZbDqSnaG3aNDx1wlloQ/30s.jpg,Fantastic bbq seitan sandwich.,(217) 367-2340,Marge S.,1209 W Oregon St,"Urbana, IL 61801"
8,"['Thai', 'Sushi Bars']",4.0,http://s3-media3.ak.yelpcdn.com/bphoto/HaT2Lpjp2Oaec36_lnrDlg/90s.jpg,My Thai,2,http://www.yelp.com/biz/my-thai-champaign,http://s3-media1.ak.yelpcdn.com/photo/HOFz5eGrwjt80Xobx3tfHQ/30s.jpg,They make THE BEST crab rangoon I have ever eaten.,(217) 351-8424,Phil P.,2312 W Springfield Ave,"Champaign, IL 61821"
9,"['Indian', 'Vegetarian']",4.0,http://s3-media4.ak.yelpcdn.com/bphoto/dlxwSYdktrOeDXRNN34rGA/90s.jpg,Sitara,2,http://www.yelp.com/biz/sitara-urbana,http://s3-media2.ak.yelpcdn.com/photo/-8bEstrlBOy4apbDSorcEQ/30s.jpg,I was overjoyed that an Indian restaurant opening up in downtown Urbana! And I was right to be excited - this place is wonderful. The service is quick and the food was great. I was dining inâ€¦,(217) 344-6440,Kara B.,114 S Race St,"Urbana, IL 61801"
